MODEL_NAME,EPOCHS,LEARN_LIHT_S,N_PAST_WINDOWS,LEARN_W,USE_ATTENTION,MODEL_TYPE,ONLY_ADD,ONLY_MULT,L_MD_WEIGHT,L_IHT_WEIGHT
STAR_final,5,FALSE,6,TRUE,TRUE,LIHT,FALSE,FALSE,0.9,0.1
Ablation_9Windows,5,FALSE,9,TRUE,TRUE,LIHT,FALSE,FALSE,0.9,0.1
DUST,5,FALSE,6,TRUE,TRUE,DUST,FALSE,FALSE,0.9,0.1
DUST_V2,5,FALSE,6,TRUE,TRUE,DUST_V2,FALSE,FALSE,0.9,0.1
Ablation_NoAtt,5,FALSE,6,TRUE,FALSE,LIHT,FALSE,FALSE,0.9,0.1
Ablation_3Windows,5,FALSE,3,TRUE,TRUE,LIHT,FALSE,FALSE,0.9,0.1
Ablation_1Window,5,FALSE,1,TRUE,TRUE,LIHT,FALSE,FALSE,0.9,0.1
Ablation_LearnS,5,TRUE,6,TRUE,TRUE,LIHT,FALSE,FALSE,0.9,0.1
Ablation_OnlyAdd,5,FALSE,6,TRUE,TRUE,LIHT,TRUE,FALSE,0.9,0.1
Ablation_OnlyMult,5,FALSE,6,TRUE,TRUE,LIHT,FALSE,TRUE,0.9,0.1
